"Catégorie
 de contrôle","Organismes contrôlés","Modalités de contrôle","Dépt.","Ville","Pays","Activité
 de l'organisme",""
"RGPD","WEBRIVAGE","sur place","13","ROUSSET","FRANCE","Commerce",""
"RGPD","CONSORTIUM IMMOBILIER","sur place","34","MONTPELLIER","FRANCE","Immobilier",""
"RGPD","VOODOO","en ligne","75","PARIS","FRANCE","Jeux",""
"RGPD","COMMUNE DE MONTPON - MÉNÉSTEROL","sur place","24","MONTPON-MÉNÉSTEROL","FRANCE","Collectivités territoriales",""
"RGPD","WIFIRST","en ligne","75","PARIS","FRANCE","Télécommunications",""
"RGPD","WIFIRST","sur pièces","75","PARIS","FRANCE","Télécommunications",""
"RGPD","WTMH","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","WTMH","sur audition","75","PARIS","FRANCE","Commerce",""
"RGPD","BGD","sur place","30","NÎMES","FRANCE","Banque",""
"RGPD","HUBSTAFF","sur pièces","","FISHERS","ÉTATS-UNIS","Commerce",""
"RGPD","CLEVER CONTROL","sur pièces","","MIAMI","ÉTATS-UNIS","Commerce",""
"RGPD","CLEVER CONTROL","en ligne","","MIAMI","ÉTATS-UNIS","Commerce",""
"RGPD","TIME DOCTOR","sur pièces","","LAS VEGAS","ÉTATS-UNIS","Commerce",""
"RGPD","FRANCE COMPÉTENCES","sur place","92","COURBEVOIE","FRANCE","Éducation",""
"RGPD","FRANCE COMPÉTENCES","sur pièces","92","COURBEVOIE","FRANCE","Éducation",""
"RGPD"," DIRECTION GÉNÉRALE DES DOUANES ET DES DROITS INDIRECTS ","sur place","44","NANTES","FRANCE","Régalien",""
"RGPD","SAS SMART LOBBYING ","sur audition","27","LERY","FRANCE","Activités politiques",""
"RGPD","FYM","sur place","84","SAINT-SATURNIN-LÈS-AVIGNON ","FRANCE","Commerce",""
"RGPD","M GASTRONOMIE","sur place","34","MONTPELLIER","FRANCE","Commerce",""
"RGPD","ASSOCIATION ENTRAIDE","sur place","13","MARSEILLE","FRANCE","Associatif",""
"RGPD","MINISTÈRE DE LA JUSTICE ","sur audition","75","PARIS","FRANCE","Régalien",""
"RGPD","MINISTÈRE DE LA JUSTICE","sur place","75","PARIS","FRANCE","Régalien",""
"RGPD","MINISTÈRE DE LA JUSTICE","sur place","75","PARIS","FRANCE","Régalien",""
"RGPD","SOLOCAL","sur place","92","BOULOGNE-BILLANCOURT","FRANCE","Commerce",""
"RGPD","SOLOCAL","sur place","92","BOULOGNE-BILLANCOURT","FRANCE","Commerce",""
"RGPD","BOUCHERIE DU BALTARD","sur place","94","NOGENT-SUR-MARNE","FRANCE","Commerce",""
"RGPD","IMMOBILIÈRE EUROPE SÈVRES","sur place","75","PARIS","FRANCE","Immobilier",""
"RGPD","GMF ASSURANCES","sur place","92","LEVALLOIS-PERRET","FRANCE","Assurance",""
"RGPD","GMF ASSURANCES","sur place","75","PARIS","FRANCE","Assurance",""
"RGPD","COMMUNE DE CHARVIEU-CHAVAGNEU","sur place","38","CHARVIEU-CHAVAGNEU","FRANCE","Collectivités territoriales",""
"RGPD","ECHO ANALYTICS","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","ECHO ANALYTICS","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","PRESTALEADS","sur place","35","RENNES","FRANCE","Commerce",""
"RGPD","PRESTALEADS","sur audition","35","RENNES","FRANCE","Commerce",""
"RGPD","BAYER HEALTHCARE SAS","sur place","59","LOOS","FRANCE","Santé ",""
"RGPD","PHENIX SECURITE SARL
","sur place","68","MULHOUSE","FRANCE","Travail",""
"RGPD","LEROY MERLIN GSB","sur place","59","LEZENNES","FRANCE","Commerce",""
"RGPD","MINISTÈRE DES SOLIDARITES ET DE LA SANTE
MINISTÈRE DE L'INTÉRIEUR ET DES OUTRE-MERS ","sur pièces","75","PARIS","FRANCE","Santé ",""
"RGPD","LA POSTE","en ligne","75","PARIS","FRANCE","Commerce",""
