"Type de
contrôle","Modalité de contrôle","Organismes","Dép.","Lieu","Secteur d'activité"
"RGPD/
DIRECTIVE police justice","sur pièces","NORD BIOLOGIE LILLE","59","LILLE","Santé "
"RGPD/
DIRECTIVE police justice","sur pièces","ONLINE","75","PARIS","Commerce"
"RGPD/
DIRECTIVE police justice","sur pièces","ORANGE BUSINESS SERVICES","93","SAINT-DENIS","Commerce"
"RGPD/
DIRECTIVE police justice","sur pièces","PEPPERBAY","68","MULHOUSE","Commerce"
"RGPD/
DIRECTIVE police justice","sur pièces","SECURINFOR","94","RUNGIS","Commerce"
"RGPD/
DIRECTIVE police justice","sur pièces","SOFTWAY MEDICAL","13","MEYREUIL","Santé "
"RGPD/
DIRECTIVE police justice","sur pièces","START INFORMATIQUE","56","PLOEMEUR","Régalien"
"RGPD/
DIRECTIVE police justice","sur audition","ATIH","75","PARIS","Santé "
"RGPD/
DIRECTIVE police justice","en ligne","44 GALERIES LAFAYETTE","75","PARIS","Commerce"
"RGPD/
DIRECTIVE police justice","en ligne","ATIH","75","PARIS","Santé "
"RGPD/
DIRECTIVE police justice","en ligne","COMMON MINDS","75","PARIS","Travail"
"RGPD/
DIRECTIVE police justice","en ligne","DIGISCHOOL","75","PARIS","Education"
"RGPD/
DIRECTIVE police justice","en ligne","FORPROF","75","PARIS","Commerce"
"RGPD/
DIRECTIVE police justice","en ligne","MUTUELLE DE L'ARMEE DE L'AIR","75","PARIS","Assurances"
"RGPD/
DIRECTIVE police justice","en ligne","NOTE2BE.COM","75","PARIS","Education"
"RGPD/
DIRECTIVE police justice","en ligne","SAGES INFORMATIQUE","75","PARIS","Commerce"
"RGPD/
DIRECTIVE police justice","en ligne","SAS NOMAD EDUCATION","75","PARIS","Education"
"RGPD/
DIRECTIVE police justice","en ligne","SCANSANTE.FR","75","PARIS","Santé "
"VIDEOPROTECTION","sur place","ACCOR HOTEL ARENA","75","PARIS","Culture"
